site_name,deployment_start,deployment_end,status,LFT_dist,H2O_dist,WV_dist,MV_dist,WVF_dist,WVO_dist,BUFF_DIST,SHAPE_Length,SHAPE_Area,built,DEM_median,DEM_mean,NDVI_median,NDVI_mean,POP_median,POP_mean,WVO_PA,WVF_PA,MV_PA
TUW1,9/29/2020 10:25,9/28/2021 10:30,ongoing,24.643529,145.339015,0,433.160499,0,369.055969,1000,6283.185307,3141592.654,0.108722,122,118.7658,0.386421,0.389669,165.126511,200.267684,0.055457,0.281243,0.091083
TUW2,9/29/2020 11:37,10/26/2020 13:09,ended,7.640639,98.063735,21.529178,0,21.529178,91.037839,1000,6283.185307,3141592.654,0.073416,109,110.1536,0.46324,0.439553,101.395256,110.527322,0.033556,0.29214,0.262964
TUW3,9/29/2020 11:26,9/29/2020 11:26,ended,95.581632,256.690514,0,502.074554,0,349.329695,1000,6283.185307,3141592.654,0.118903,123,121.1222,0.360226,0.366634,179.906387,216.526591,0.067206,0.250934,0.044527
TUW4,9/29/2020 15:37,10/7/2020 11:31,ongoing,0,69.293004,0,1211.017349,2.06687,0,1000,6283.185307,3141592.654,0.112229,95,95.5551,0.400078,0.387328,211.96051,231.397745,0.179541,0.256205,0
TUW4b,10/7/2020 11:44,10/15/2021 12:45,ended,0,54.212268,0,1028.192392,0,31.909398,1000,6283.185307,3141592.654,0.10095,102,99.63511,0.399449,0.391273,211.96051,214.955161,0.235008,0.219213,0
TUW5,,,ended,0,137.273656,8.076294,712.922743,8.076294,42.79251,1000,6283.185307,3141592.654,0.119561,97,96.05138,0.387215,0.380331,208.762451,203.252004,0.154936,0.221062,0.016407
TUW6,9/29/2020 16:06,10/7/2020 10:56,ongoing,117.504002,103.904252,87.75627,516.466336,139.988777,87.75627,1000,6283.185307,3141592.654,0.124122,96,95.04694,0.374066,0.36905,178.197258,261.929367,0.069631,0.207531,0.05126
TUW7,9/29/2020 17:01,1/30/2021 11:59,ended,9.505885,157.820509,0,240.787413,0,19.554107,1000,6283.185307,3141592.654,0.18129,110,107.3789,0.297652,0.316422,549.367798,883.625685,0.049616,0.174585,0.045042
TUW8,11/3/2020 11:51,12/29/2020 17:33,ended,51.886643,333.490374,0,78.856124,2.107018,0,1000,6283.185307,3141592.654,0.12012,106,102.4287,0.400747,0.379856,437.096283,844.092276,0.112898,0.340622,0.037749
TUW09,10/3/2020 13:44,10/5/2021 16:19,ended,0,373.155618,143.875327,151.09961,143.875327,386.521558,1000,6283.185307,3141592.654,0.18541,105,103.4527,0.302346,0.325695,486.105255,598.570954,0.067138,0.210903,0.016307
TUW09b,1/1/2021 15:43,2/28/2021 18:22,ongoing,0,181.713177,50.80897,1470.676099,50.80897,68.350265,1000,6283.185307,3141592.654,0.149106,87,87.16721,0.28928,0.31048,338.589447,363.86301,0.170777,0.192533,0
TUW10,10/14/2020 14:00,6/8/2021 3:50,ended,0,2148.354188,1772.773067,232.002725,1772.773067,1964.762116,1000,6283.185307,3141592.654,0.287176,112,112.8098,0.190339,0.208557,631.409241,740.641574,0,0,0.067654
TUW11,10/19/2020 13:20,9/28/2021 9:55,ongoing,3.987868,360.838335,10.014818,176.47508,10.014818,587.522557,1000,6283.185307,3141592.654,0.154906,111,113.4713,0.267812,0.297587,335.352768,425.933577,0.000564,0.117751,0.201076
TUW12,,,ongoing,10.916076,2872.628022,594.490877,236.150319,2527.384296,594.490877,1000,6283.185307,3141592.654,0.364266,110,109.0928,0.182777,0.184326,569.008728,572.536388,0.000551,0,0.012939
TUW13,10/1/2020 16:45,10/5/2021 14:17,ongoing,3.810875,2890.430386,281.205076,359.342615,2182.043537,281.205076,1000,6283.185307,3141592.654,0.375543,110,110.6116,0.196662,0.204276,543.47998,532.42075,0.000826,0,0.075729
TUW14,10/1/2020 16:19,9/20/2021 17:30,ongoing,21.963182,3069.884418,82.801521,124.97553,1845.338294,82.801521,1000,6283.185307,3141592.654,0.43778,108,107.0412,0.158734,0.183282,248.459465,535.637315,0.001951,0,0.08521
TUW15,10/1/2020 17:14,1/13/2021 16:08,ongoing,180.868569,2680.26679,538.581866,0,1490.7586,538.581866,1000,6283.185307,3141592.654,0.419629,113,112.0938,0.181516,0.19698,583.165527,678.845435,0.001101,0,0.083375
TUW16,,,ended,0,325.606368,200.836046,757.880905,1720.546003,200.836046,1000,6283.185307,3141592.654,0.173542,78,79.08482,0.114785,0.149397,0,147.474244,0.121151,0,0.003457
TUW17,10/2/2020 10:16,10/12/2020 15:24,ended,0,133.78249,96.754528,903.76035,1685.096673,96.754528,1000,6283.185307,3141592.654,0.170708,78,79.03105,0.116683,0.150131,0,144.033467,0.112799,0,0.001756
TUW18,10/2/2020 9:46,10/12/2020 15:29,ended,0,275.648076,231.44632,721.000639,1620.064744,231.44632,1000,6283.185307,3141592.654,0.18117,78,79.35693,0.120588,0.153468,103.379349,196.17348,0.110928,0,0.003454
TUW19,9/30/2020 9:58,9/28/2021 13:21,ended,21.258943,260.303842,0,49.429036,1586.183657,0,1000,6283.185307,3141592.654,0.060914,77,77.34827,0.253227,0.266336,32.489815,147.520714,0.203328,0,0.187222
TUW20,1/1/2017 0:00,10/14/2020 14:10,ongoing,0,11.026071,304.274148,165.317898,1008.267812,304.274148,1000,6283.185307,3141592.654,0.131503,78,78.15346,0.227446,0.245386,175.624504,292.949091,0.120291,0,0.154998
TUW21,9/30/2020 10:32,9/7/2021 18:34,ended,0,269.060489,442.417309,431.480245,723.129058,442.417309,1000,6283.185307,3141592.654,0.16538,79,79.56844,0.239177,0.251142,505.76355,452.146484,0.081551,0.003104,0.113075
TUW22,,,ongoing,0,435.497109,6.81113,279.173731,6.81113,354.213853,1000,6283.185307,3141592.654,0.156811,126,119.853,0.351861,0.361884,429.826965,372.786596,0.027593,0.18409,0.147322
TUW23,9/30/2020 11:33,9/28/2021 14:20,ongoing,11.869868,534.293027,0,350.701906,0,456.412025,1000,6283.185307,3141592.654,0.166024,126,120.2798,0.343355,0.353746,429.826965,378.873422,0.022289,0.171065,0.13046
TUW24,9/30/2020 12:16,5/29/2021 11:39,ongoing,2.071118,347.178359,0,185.457246,0,59.877005,1000,6283.185307,3141592.654,0.106397,142,137.5591,0.340853,0.344252,162.603867,194.482964,0.076503,0.113455,0.18004
TUW25,9/30/2020 15:54,9/28/2021 15:05,ongoing,0,294.332462,12.374406,138.753895,14.110231,12.374406,1000,6283.185307,3141592.654,0.101351,141,136.9899,0.354064,0.3559,162.906792,198.707303,0.090412,0.115581,0.190529
TUW26,9/30/2020 16:12,5/1/2021 6:19,ongoing,87.907782,269.570129,0,60.022386,0,44.961687,1000,6283.185307,3141592.654,0.100027,140,136.4362,0.361245,0.362448,162.603867,183.875816,0.096747,0.122379,0.185792
TUW27,9/30/2020 13:43,8/28/2021 16:23,ongoing,0,204.591394,0,259.084092,0,18.313079,1000,6283.185307,3141592.654,0.109076,125,120.7466,0.354329,0.368131,137.387711,208.172956,0.113817,0.224785,0.037212
TUW28,9/30/2020 14:49,10/10/2021 8:54,ongoing,171.625926,180.928826,0,1295.261362,51.407817,0,1000,6283.185307,3141592.654,0.066084,156,149.3608,0.443123,0.443306,42.642601,53.779577,0.179779,0.200788,0
TUW29,9/30/2020 15:03,12/31/2020 11:56,ongoing,15.009624,327.754368,0,1224.735026,0,10.99503,1000,6283.185307,3141592.654,0.078953,163,151.1561,0.42656,0.429577,74.351891,120.422801,0.156922,0.18081,0
TUW29b,12/31/2020 12:00,9/28/2021 15:29,ended,31.863393,1107.318203,10.272092,394.355125,10.272092,561.005047,1000,6283.185307,3141592.654,0.14892,154,144.9833,0.335329,0.334398,191.651825,245.959116,0.026424,0.064812,0.053052
TUW30,10/1/2020 15:02,9/29/2021 19:20,ongoing,0,910.272243,70.304084,320.872276,70.304084,241.1408,1000,6283.185307,3141592.654,0.206574,124,125.3944,0.318598,0.319485,257.653137,388.140427,0.007983,0.142412,0.05907
TUW31,10/1/2020 14:48,9/29/2021 18:48,ongoing,19.737355,802.714496,0,406.60078,0,159.017605,1000,6283.185307,3141592.654,0.185304,124,124.8629,0.327576,0.331068,231.029839,314.382288,0.009234,0.155115,0.058993
TUW32,10/1/2020 15:40,9/29/2021 19:23,ongoing,0,1026.160371,197.726942,14.2076,397.551309,197.726942,1000,6283.185307,3141592.654,0.205916,122,121.9131,0.306752,0.310041,340.723587,444.446834,0.013645,0.111196,0.068257
TUW33,10/1/2020 10:52,10/24/2020 14:39,ongoing,0,1191.6685,256.592512,67.201384,256.592512,1176.822779,1000,6283.185307,3141592.654,0.179835,146,145.1802,0.305684,0.314898,205.843704,258.375205,0,0.13649,0.134018
TUW33b,11/13/2020 12:32,12/18/2020 12:54,ended,0,216.413657,2.257147,450.265988,2.257147,143.41749,1000,6283.185307,3141592.654,0.115305,128,121.8486,0.394348,0.362157,323.915237,319.562848,0.134659,0.294903,0.092194
TUW33c,12/28/2020 15:50,9/27/2021 17:04,ended,0,242.830975,111.720333,828.984887,111.720333,172.384803,1000,6283.185307,3141592.654,0.150477,127,120.1611,0.324026,0.320669,128.945213,178.75253,0.162525,0.29353,0.033776
TUW34,10/1/2020 11:54,9/29/2021 18:37,ongoing,45.57839,763.29479,12.059289,0,12.059289,599.068999,1000,6283.185307,3141592.654,0.169488,152,151.1965,0.325097,0.336924,182.940842,234.424337,0.004138,0.142791,0.148999
TUW35,10/1/2020 11:23,,ongoing,0,775.406948,0,148.454136,0,815.237194,1000,6283.185307,3141592.654,0.172709,149,148.0816,0.322241,0.331779,174.025986,213.379975,0.002689,0.154226,0.14641
TUW35b,11/13/2020 15:41,9/27/2021 17:00,ended,0,355.945766,32.42353,518.632856,32.42353,299.223262,1000,6283.185307,3141592.654,0.136292,134,129.9518,0.354551,0.362434,212.048981,233.540702,0.032262,0.330596,0.048503
TUW36,10/1/2020 12:18,12/28/2020 14:04,ongoing,0,295.692735,30.01588,1023.665354,30.01588,42.999522,1000,6283.185307,3141592.654,0.10122,143,141.8975,0.368054,0.371802,22.419708,53.455468,0.0253,0.175753,0
TUW36b,1/1/2017 0:00,9/29/2021 17:54,ended,0,315.514001,60.846017,564.624447,60.846017,320.527507,1000,6283.185307,3141592.654,0.066189,142,137.0425,0.430896,0.419429,20.183868,32.857519,0.044826,0.313704,0.05321
TUW37,10/1/2020 13:03,12/28/2020 14:19,ongoing,0,6.427961,0,613.530209,0,14.786612,1000,6283.185307,3141592.654,0.110249,140,138.7949,0.358038,0.366821,117.825756,101.355778,0.024676,0.166841,0.08025
TUW37b,12/28/2020 14:18,9/29/2021 18:06,ended,0,51.772094,0,348.565816,0,253.555464,1000,6283.185307,3141592.654,0.110093,138,136.4586,0.379026,0.374717,116.891937,99.26891,0.020298,0.206183,0.139112
TUW38,10/1/2020 13:21,12/28/2020 14:10,ongoing,0,28.616046,0,1075.988575,0,12.979254,1000,6283.185307,3141592.654,0.113306,143,141.686,0.352094,0.361608,86.868729,82.619779,0.022387,0.138305,0
TUW38b,12/28/2020 13:58,9/29/2021 18:15,ended,0,158.123578,8.927855,495.291168,8.927855,1086.558097,1000,6283.185307,3141592.654,0.102812,154,152.4058,0.381707,0.386322,34.438026,48.079592,0,0.146828,0.052895
TUW39,12/29/2020 11:10,9/28/2021 14:43,ongoing,0,174.613999,0,578.902637,0,100.632171,1000,6283.185307,3141592.654,0.136628,131,127.0813,0.30552,0.322924,259.975891,219.755061,0.078361,0.096358,0.071614
TUW40,12/31/2020 15:22,,ongoing,0,239.07551,104.603962,6.755593,664.426232,104.603962,1000,6283.185307,3141592.654,0.228282,80,81.7422,0.269927,0.279751,414.274216,452.95139,0.077662,0.003784,0.124529
TUW41,12/31/2020 10:43,10/22/2019 22:47,ended,0,26.047442,9.233757,445.010278,58.45489,9.233757,1000,6283.185307,3141592.654,0.227333,91,92.97646,0.344652,0.3282,404.214584,451.17204,0.039036,0.045421,0.084717
TUW42,3/21/2017 2:48,9/28/2021 12:48,ended,12.397186,499.02093,53.724472,580.332056,53.724472,288.263266,1000,6283.185307,3141592.654,0.093139,176,161.8749,0.398039,0.393494,84.824081,97.067048,0.1303,0.175055,0.040708
CPC_1,10/10/2020 12:17,11/26/2020 11:24,ongoing,1041.445202,17.377761,0,1494.54014,24.945729,0,1000,6283.185307,3141592.654,0.168882,155,154.1941,0.147047,0.215905,0,0,0.046377,0.156894,0
CPC_2,10/10/2020 13:48,11/13/2020 14:07,ended,25.983081,142.176847,0,633.037159,9.73851,0,1000,6283.185307,3141592.654,0.130183,137,138.8524,0.309582,0.335586,276.441895,359.218257,0.090256,0.229738,0.054229
CPC_3,10/11/2020 13:50,1/11/2021 12:50,ongoing,0,27.02867,0,2423.094824,778.664207,0,1000,6283.185307,3141592.654,0.000684,77,77.16846,0.379773,0.343721,0,0,0.727568,0.019332,0
CPC_4,10/10/2020 15:26,12/4/2020 11:24,ended,63.573827,79.816377,0,262.86401,0,164.502383,1000,6283.185307,3141592.654,0.057585,135,130.5169,0.455475,0.423534,40.799736,50.11661,0.053926,0.366349,0.14471
CPC_5,12/1/2020 12:42,10/11/2020 11:24,ongoing,0,1677.325882,27.029513,393.078847,27.029513,880.918746,1000,6283.185307,3141592.654,0.239815,160,159.2107,0.276445,0.28768,505.334045,665.708067,0.000276,0.098949,0.013654
CPC_6,10/12/2020 10:39,10/31/2020 11:26,ended,44.014765,98.22248,0,520.587128,0,737.606672,1000,6283.185307,3141592.654,0.143983,146,144.6402,0.294724,0.32243,283.539886,337.613497,0.000278,0.155472,0.032227
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
