site_name,corridor,veg_complexity,LFT_dist,H2O_dist,WV_dist,MV_dist,WVF_dist,WVO_dist,BUFF_DIST,ORIG_FID,SHAPE_Length,SHAPE_Area,built,DEM_median,DEM_mean,NDVI_median,NDVI_mean,POP_median,POP_mean,WVO_PA,WVF_PA,MV_PA,Fdec_PA,Fmix_PA,Fcon_PA
TUW1,1,4,24.64352915,145.3390153,0,433.1604993,0,369.0559689,500,1,3141.592654,785398.1634,0.106105033,123,117.2503281,0.374358594,0.399399446,129.3962288,131.7494812,0.032454019,0.317472968,0.012350554,0,0.289150595,0.007433285
TUW2,0,1,7.640638641,98.06373482,21.52917828,0,21.52917828,91.03783907,500,2,3141.592654,785398.1634,0.03628513,99,102.5229721,0.488686442,0.458966103,103.6447487,103.6447487,0.077228736,0.340526822,0.346856272,0,0.228798659,0.003843067
TUW3,0,4,95.58163189,256.6905144,0,502.0745543,0,349.3296947,500,3,3141.592654,785398.1634,0.115786633,122,117.7305069,0.349382237,0.364051753,194.686264,231.1667887,0.018702997,0.326576587,0,0.002128012,0.319038447,0.001081527
TUW4,1,4,0,69.29300416,0,1211.017349,2.066870314,0,500,4,3141.592654,785398.1634,0.102211279,84,85.5895157,0.453252405,0.402897259,205.5643921,309.0592702,0.215400353,0.362345567,0,0,0.115773182,0.021038242
TUW4b,0,4,0,54.21226841,0,1028.192392,0,31.9093984,500,57,3141.592654,785398.1634,0.063074094,100,98.4087601,0.450008988,0.431007863,184.2731705,272.5399399,0.368165268,0.380300525,0,0,0.279732214,0.013237343
TUW5,1,3,0,137.2736564,8.076294193,712.9227425,8.076294193,42.79251014,500,5,3141.592654,785398.1634,0.068797928,89,89.0820236,0.459987924,0.438041481,178.197258,191.4345932,0.199656168,0.33781293,0,0,0.163967394,0.002611446
TUW6,0,3,117.5040017,103.9042524,87.75626978,516.4663363,139.9887772,87.75626978,500,6,3141.592654,785398.1634,0.114241989,91,88.119873,0.393541157,0.387942069,111.5049896,111.5049896,0.030286122,0.251444195,0,0.013246788,0.152439748,0
TUW7,1,3,9.505885337,157.8205089,0,240.7874133,0,19.55410741,500,7,3141.592654,785398.1634,0.171045038,107,105.3061905,0.314611703,0.333504431,500.0160522,921.5591339,0.016549042,0.240698255,0.031166403,0.010489253,0.084529409,0
TUW8,0,3,51.8866428,333.4903737,0,78.85612405,2.107017725,0,500,8,3141.592654,785398.1634,0.103939685,108,102.722908,0.440024719,0.403725202,169.0519257,169.0519257,0.086532823,0.455213721,0.103421567,0.090187025,0.057073344,0.064169746
TUW09,0,1,0,373.1556177,143.8753274,151.0996102,143.8753274,386.5215582,500,9,3141.592654,785398.1634,0.165972528,104,102.7563629,0.332594812,0.36005041,385.9308472,388.3599586,0.010139995,0.204495328,0.041708471,0.030477211,0.14944623,0
TUW09b,0,1,0,181.7131766,50.80897013,1470.676099,50.80897013,68.35026466,500,10,3141.592654,785398.1634,0.161951859,84,84.0772018,0.289944589,0.311641158,306.0735474,426.1259867,0.142370916,0.172278047,0,0.11380563,0,0
TUW10,0,1,0,2148.354188,1772.773067,232.0027248,1772.773067,1964.762116,500,11,3141.592654,785398.1634,0.274608259,112,112.210434,0.187073156,0.210460761,592.6434021,623.9869843,0,0,0.10260391,0,0,0
TUW11,0,2,3.987868402,360.8383355,10.01481846,176.4750802,10.01481846,587.5225566,500,12,3141.592654,785398.1634,0.191269289,111,114.0555878,0.209011249,0.241252419,285.9066772,351.1220367,0,0.044546732,0.171571412,6.70775E-05,0,0
TUW12,0,1,10.9160757,2872.628022,594.4908772,236.1503188,2527.384296,594.4908772,500,13,3141.592654,785398.1634,0.322116661,110,109.4751968,0.197318539,0.199454196,640.4627991,704.1056366,0,0,0.050051099,0,0,0
TUW13,0,1,3.810875141,2890.430386,281.2050758,359.342615,2182.043537,281.2050758,500,14,3141.592654,785398.1634,0.389933563,110,110.6999893,0.187739596,0.19309651,455.776413,432.6125743,0.001651865,0,0.025410709,0,0,0
TUW14,0,1,21.96318202,3069.884418,82.80152116,124.9755299,1845.338294,82.80152116,500,15,3141.592654,785398.1634,0.337217087,108,107.3369446,0.266386151,0.270678286,0,3.815505481,0.002202379,0,0.243979235,0,0,0
TUW15,0,0,180.8685687,2680.26679,538.5818659,0,1490.7586,538.5818659,500,16,3141.592654,785398.1634,0.385724003,113,111.8998566,0.183006451,0.210231821,312.9146423,327.2181651,0,0,0.209866959,0,0,0
TUW16,0,1,0,325.6063676,200.8360459,757.8809045,1720.546003,200.8360459,500,17,3141.592654,785398.1634,0.102343999,78,78.4778519,0.148245573,0.186805925,0,0,0.150717327,0,0,0,0,0
TUW17,1,2,0,133.7824904,96.75452775,903.7603495,1685.096673,96.75452775,500,18,3141.592654,785398.1634,0.068923895,78,78.6103668,0.156124592,0.199262395,0,74.04435221,0.1243813,0,0,0,0,0
TUW18,0,1,0,275.6480762,231.44632,721.0006392,1620.064744,231.44632,500,19,3141.592654,785398.1634,0.130638454,78,78.5333252,0.154649191,0.191963371,0,0,0.128127521,0,0,0,0,0
TUW19,0,3,21.2589432,260.3038422,0,49.42903551,1586.183657,0,500,20,3141.592654,785398.1634,0.009749268,76,76.3336487,0.273124933,0.285812514,0,0,0.357056778,0,0.306571102,0,0,0
TUW20,0,1,0,11.02607065,304.2741479,165.3178981,1008.267812,304.2741479,500,21,3141.592654,785398.1634,0.06578055,78,77.8456345,0.296940207,0.29363899,270.6447144,270.6447144,0.098695988,0,0.182147333,0,0,0
TUW21,0,1,0,269.0604889,442.4173092,431.4802455,723.1290582,442.4173092,500,22,3141.592654,785398.1634,0.206321869,79,78.9159012,0.191895805,0.219005538,549.499939,542.7438354,0.012769012,0,0.013386856,0,0,0
TUW22,0,3,0,435.4971093,6.811130088,279.1737314,6.811130088,354.2138531,500,23,3141.592654,785398.1634,0.1363492,123,117.4011688,0.374224663,0.387354694,235.9501801,265.0420181,0.010798109,0.292720009,0.039748994,0.113208007,0.168644988,0
TUW23,1,4,11.86986795,534.2930268,0,350.7019056,0,456.4120246,500,24,3141.592654,785398.1634,0.150585029,124,119.8875809,0.354305506,0.36484496,235.9501801,265.0420181,0.002029751,0.2221914,0.049568754,0.064038701,0.152316971,0
TUW24,0,1,2.071118086,347.1783592,0,185.4572459,0,59.87700542,500,25,3141.592654,785398.1634,0.085546826,134,131.0656891,0.404340565,0.386371342,192.4954987,149.3917693,0.111051974,0.218848493,0.139133577,0.115797877,0.087691712,0
TUW25,0,1,0,294.3324621,12.37440559,138.7538953,14.11023053,12.37440559,500,26,3141.592654,785398.1634,0.072226205,132,129.0865326,0.416385114,0.401042024,192.4954987,149.3917693,0.120171622,0.251854652,0.15019619,0.151099769,0.092994494,0
TUW26,1,4,87.90778214,269.5701286,0,60.02238647,0,44.96168688,500,27,3141.592654,785398.1634,0.075577601,132,127.7011871,0.425548792,0.407883935,254.0936584,254.0936584,0.121624241,0.264696954,0.160573314,0.16660881,0.095812275,0
TUW27,0,2,0,204.5913937,0,259.084092,0,18.31307883,500,28,3141.592654,785398.1634,0.014081334,124,117.1170883,0.484187052,0.443802734,204.8675079,204.8675079,0.193697206,0.550801907,0.061213756,0.025734636,0.525067271,0
