site_name,imperv_100,imperv_500,imperv_1000,imperv_2000
TUW1,0.331024,0.274012,0.292147,0.33634012
TUW2,0.086272,0.121872,0.191978,0.33061034
TUW3,0.166998,0.329114,0.34234,0.33966736
TUW4,0.062564,0.267737,0.311064,0.43625712
TUW4b,0.001789,0.204928,0.295148,0.41758671
TUW5,0.245009,0.180636,0.315456,0.41626376
TUW6,0.065355,0.275088,0.335445,0.41415188
TUW7,0.386252,0.456822,0.48875,0.54616419
TUW8,0.140964,0.272669,0.342395,0.4822443
TUW09,0.484912,0.42196,0.473782,0.52892338
TUW09b,0.609402,0.475856,0.474703,0.48738453
TUW10,0.715717,0.685067,0.699951,0.71690859
TUW11,0.611487,0.567332,0.445647,0.46334462
TUW12,0.72514,0.720658,0.760606,0.72222252
TUW13,0.717261,0.728641,0.710708,0.75875125
TUW14,0.500622,0.556339,0.737916,0.7910257
TUW15,0.472,0.679189,0.719755,0.7424586
TUW16,0.368072,0.634818,0.705052,0.72846323
TUW17,0.072615,0.577386,0.695256,0.7276542
TUW18,0.44713,0.654892,0.70915,0.7232229
TUW19,0.27645,0.352953,0.446163,0.57054486
TUW20,0.069319,0.414922,0.53724,0.58961246
TUW21,0.815558,0.647014,0.559971,0.59171021
TUW22,0.217284,0.364984,0.40977,0.4822443
TUW23,0.271267,0.410677,0.429982,0.48812782
TUW24,0.208475,0.284432,0.364356,0.47629308
TUW25,0.154599,0.251025,0.340437,0.46264157
TUW26,0.008172,0.241907,0.329224,0.45184943
TUW27,0.020688,0.13423,0.33244,0.37585371
TUW28,0.003737,0.113412,0.183983,0.32112182
TUW29,0.161214,0.153854,0.21104,0.33864452
TUW29b,0.240619,0.36923,0.426277,0.3720033
TUW30,0.447875,0.406678,0.482672,0.50064358
TUW31,0.032523,0.388829,0.459102,0.48486601
TUW32,0.556659,0.617575,0.496808,0.55949633
TUW33,0.565715,0.436454,0.461533,0.46668842
TUW33b,0.417595,0.288538,0.344153,0.42264835
TUW33c,0.674543,0.326055,0.411318,0.46008184
TUW34,0.063129,0.222741,0.423773,0.49742883
TUW35,0.126179,0.32019,0.428377,0.44990324
TUW35b,0.058466,0.343093,0.361384,0.38649953
TUW36,0.232448,0.224614,0.304783,0.29395107
TUW36b,0.236452,0.2011,0.204073,0.28559521
TUW37,0.012362,0.284679,0.331132,0.34275439
TUW37b,0.032014,0.277226,0.31363,0.36018631
TUW38,0.043936,0.244955,0.332103,0.32114157
TUW38b,0.221705,0.222912,0.273904,0.31847797
TUW39,0.220472,0.375523,0.429112,0.45323604
TUW40,0.237073,0.460024,0.565756,0.53432332
TUW41,0.486967,0.506853,0.527541,0.52065214
TUW42,0.303268,0.221754,0.291666,0.33483453
CPC_1,0,0,0.003332,0.02682207
CPC_2,0.002572,0.240027,0.372515,0.42499019
CPC_3,0.24228,0.270138,0.213013,0.33197903
CPC_4,0.139814,0.204364,0.202591,0.31261013
CPC_5,0.051253,0.487626,0.548023,0.53737938
CPC_6,0.148254,0.327099,0.430744,0.51713155
