site_name,UTM,X,Y,deployment_start,deployment_end
TUW1,17T 619592 4835910,-79.516631,43.666581,9/29/2020 10:25,9/28/2021 10:30
TUW2,17T 619855 4836480,-79.513242,43.67167,9/29/2020 11:37,10/26/2020 13:09
TUW3,17T 619576 4835679,-79.516878,43.664501,9/29/2020 11:26,9/29/2020 11:26
TUW4,17T 621462 4833914,-79.493898,43.648308,9/29/2020 15:37,10/7/2020 11:31
TUW4b,17T 621171 4833771,-79.497531,43.647069,10/7/2020 11:44,10/15/2021 12:45
TUW5,17T 621464 4833550,-79.493953,43.645029,9/29/2020 15:38,10/15/2021 11:33
TUW6,17T 621656 4833273,-79.491637,43.642509,9/29/2020 16:06,10/7/2020 10:56
TUW7,17T 624182 4834605,-79.460022,43.654075,9/29/2020 17:01,1/30/2021 11:59
TUW8,17T 623576 4834247,-79.467609,43.650957,11/3/2020 11:51,12/29/2020 17:33
TUW09,17T 624409 4834304,-79.457277,43.651335,10/3/2020 13:44,10/5/2021 16:19
TUW09b,17T 624664 4833208,-79.454369,43.641426,1/1/2021 15:43,2/28/2021 18:22
TUW10,17T 627026 4835727,-79.424496,43.663693,10/14/2020 14:00,6/8/2021 3:50
TUW11,17T 621307 4837212,-79.495073,43.678015,10/19/2020 13:20,9/28/2021 9:55
TUW12,17T 628433 4835423,-79.407127,43.66072,NA,NA
TUW13,17T 628944 4835806,-79.400701,43.664078,10/1/2020 16:45,10/5/2021 14:17
TUW14,17T 629532 4835665,-79.393449,43.662709,10/1/2020 16:19,9/20/2021 17:30
TUW15,17T 629385 4836110,-79.39516,43.666742,10/1/2020 17:14,1/13/2021 16:08
TUW16,17T 632782 4834698,-79.353388,43.653434,NA,NA
TUW17,17T 632901 4834772,-79.351891,43.654071,10/2/2020 10:16,10/12/2020 15:24
TUW18,17T 632768 4834770,-79.353544,43.654082,10/2/2020 9:46,10/12/2020 15:29
TUW19,17T 636275 4835506,-79.309887,43.660068,9/30/2020 9:58,9/28/2021 13:21
TUW20,17T 636138 4835907,-79.311485,43.663703,1/1/2017 0:00,10/14/2020 14:10
TUW21,17T 636282 4836158,-79.309641,43.665935,9/30/2020 10:32,9/7/2021 18:34
TUW22,17T 638929 4837721,-79.27642,43.679509,NA,NA
TUW23,17T 638855 4837732,-79.277325,43.679625,9/30/2020 11:33,9/28/2021 14:20
TUW24,17T 640556 4839776,-79.255705,43.697706,9/30/2020 12:16,5/29/2021 11:39
TUW25,17T 640700 4839830,-79.2539,43.698164,9/30/2020 15:54,9/28/2021 15:05
TUW26,17T 640771 4839849,-79.253016,43.698321,9/30/2020 16:12,5/1/2021 6:19
TUW27,17T 645501 4845175,-79.192911,43.745342,9/30/2020 13:43,8/28/2021 16:23
TUW28,17T 643870 4843428,-79.213625,43.729937,9/30/2020 14:49,10/10/2021 8:54
TUW29,17T 643840 4843552,-79.21396,43.731057,9/30/2020 15:03,12/31/2020 11:56
TUW29b,17T 644310 4844798,-79.207794,43.742176,12/31/2020 12:00,9/28/2021 15:29
TUW30,17T 630091 4837954,-79.385964,43.683211,10/1/2020 15:02,9/29/2021 19:20
TUW31,17T 630194 4837962,-79.384684,43.683267,10/1/2020 14:48,9/29/2021 18:48
TUW32,17T 629908 4837715,-79.388292,43.681094,10/1/2020 15:40,9/29/2021 19:23
TUW33,17T 630705 4841641,-79.377448,43.716289,10/1/2020 10:52,10/24/2020 14:39
TUW33b,17T 632127 4841879,-79.359753,43.718176,11/13/2020 12:32,12/18/2020 12:54
TUW33c,17T 632481 4841718,-79.355397,43.716662,12/28/2020 15:50,9/27/2021 17:04
TUW34,17T 630273 4841632,-79.382813,43.71628,10/1/2020 11:54,9/29/2021 18:37
TUW35,17T 630454 4841807,-79.380525,43.717829,10/1/2020 11:23,11/6/2020 10:38
TUW35b,17T 631403 4842056,-79.368693,43.719898,11/13/2020 15:41,9/27/2021 17:00
TUW36,17T 631820 4843436,-79.363174,43.732244,10/1/2020 12:18,12/28/2020 14:04
TUW36b,17T 631378 4843113,-79.368738,43.729414,1/1/2017 0:00,9/29/2021 17:54
TUW37,17T 632298 4843271,-79.357288,43.730677,10/1/2020 13:03,12/28/2020 14:19
TUW37b,17T 632457 4843107,-79.355353,43.729169,12/28/2020 14:18,9/29/2021 18:06
TUW38,17T 632013 4843536,-79.36076,43.733112,10/1/2020 13:21,12/28/2020 14:10
TUW38b,17T 631103 4844092,-79.371914,43.738276,12/28/2020 13:58,9/29/2021 18:15
TUW39,17T 640101 4839026,-79.261543,43.691038,12/29/2020 11:10,9/28/2021 14:43
TUW40,17T 637310 4836335,-79.29684,43.667343,12/31/2020 15:22,6/17/2021 13:29
TUW41,17T 638351 4836697,-79.28385,43.670406,12/31/2020 10:43,10/22/2019 22:47
TUW42,17T 643004 4842595,-79.224589,43.722602,3/21/2017 2:48,9/28/2021 12:48
CPC_1,17T 611642 4833649,-79.615678,43.647467,10/10/2020 12:17,11/26/2020 11:24
CPC_2,17T 615591 4844438,-79.564407,43.743974,10/10/2020 13:48,11/13/2020 14:07
CPC_3,17T 635389 4833621,-79.321338,43.643264,10/11/2020 13:50,1/11/2021 12:50
CPC_4,17T 631689 4842706,-79.364975,43.725695,10/10/2020 15:26,12/4/2020 11:24
CPC_5,17T 627574 4838486,-79.417054,43.688435,12/1/2020 12:42,10/11/2020 11:24
CPC_6,17T 638552 4840946,-79.280258,43.708612,10/12/2020 10:39,10/31/2020 11:26
