"","site_name","total_weeks_deployed","total_humans","total_freq_humans","total_dogs","total_freq_dogs","total_dogs_free","total_freq_dogs_free","total_prop_dogs_free"
"1","CPC1",3,5,1.66666666666667,5,1.66666666666667,0,0,0
"2","CPC3",3,1,0.333333333333333,1,0.333333333333333,0,0,0
"3","CPC4",3,3,1,3,1,0,0,0
"4","CPC6",3,1,0.333333333333333,4,1.33333333333333,3,1,0.75
"5","TUW1",53,35,0.660377358490566,60,1.13207547169811,28,0.528301886792453,0.466666666666667
"6","TUW10",34,1335,39.2647058823529,2456,72.2352941176471,1122,33,0.456840390879479
"7","TUW11",49,126,2.57142857142857,374,7.63265306122449,249,5.08163265306122,0.665775401069519
"8","TUW13",52,254,4.88461538461539,453,8.71153846153846,211,4.05769230769231,0.465783664459161
"9","TUW14",50,125,2.5,247,4.94,122,2.44,0.493927125506073
"10","TUW15",16,289,18.0625,298,18.625,41,2.5625,0.13758389261745
"11","TUW17",2,899,449.5,1168,584,269,134.5,0.230308219178082
"12","TUW18",2,26,13,70,35,44,22,0.628571428571429
"13","TUW19",51,358,7.01960784313725,884,17.3333333333333,528,10.3529411764706,0.597285067873303
"14","TUW2",2,34,17,44,22,18,9,0.409090909090909
"15","TUW21",49,9603,195.979591836735,16150,329.591836734694,6661,135.938775510204,0.412445820433437
"16","TUW23",51,12,0.235294117647059,14,0.274509803921569,5,0.0980392156862745,0.357142857142857
"17","TUW24",36,456,12.6666666666667,409,11.3611111111111,223,6.19444444444444,0.545232273838631
"18","TUW25",53,1059,19.9811320754717,2045,38.5849056603774,1372,25.8867924528302,0.670904645476773
"19","TUW26",32,1712,53.5,6387,199.59375,4676,146.125,0.732112102708627
"20","TUW27",45,259,5.75555555555556,708,15.7333333333333,457,10.1555555555556,0.645480225988701
"21","TUW28",49,1202,24.530612244898,3690,75.3061224489796,2491,50.8367346938776,0.675067750677507
"22","TUW29",14,115,8.21428571428571,199,14.2142857142857,91,6.5,0.457286432160804
"23","TUW29b",39,106,2.71794871794872,307,7.87179487179487,202,5.17948717948718,0.657980456026059
"24","TUW30",24,3,0.125,75,3.125,72,3,0.96
"25","TUW31",44,1698,38.5909090909091,1698,38.5909090909091,0,0,0
"26","TUW32",50,411,8.22,411,8.22,0,0,0
"27","TUW33",4,61,15.25,77,19.25,16,4,0.207792207792208
"28","TUW33b",6,839,139.833333333333,839,139.833333333333,0,0,0
"29","TUW33c",41,5146,125.512195121951,6388,155.80487804878,1242,30.2926829268293,0.1944270507201
"30","TUW34",23,1,0.0434782608695652,44,1.91304347826087,43,1.8695652173913,0.977272727272727
"31","TUW35b",45,3512,78.0444444444445,4334,96.3111111111111,823,18.2888888888889,0.189893862482695
"32","TUW36",13,71,5.46153846153846,29,2.23076923076923,4,0.307692307692308,0.137931034482759
"33","TUW36b",41,54,1.31707317073171,61,1.48780487804878,8,0.195121951219512,0.131147540983607
"34","TUW37",13,48,3.69230769230769,71,5.46153846153846,24,1.84615384615385,0.338028169014085
"35","TUW37b",35,631,18.0285714285714,1543,44.0857142857143,916,26.1714285714286,0.593648736228127
"36","TUW38",12,80,6.66666666666667,82,6.83333333333333,5,0.416666666666667,0.0609756097560976
"37","TUW38b",31,162,5.2258064516129,184,5.93548387096774,23,0.741935483870968,0.125
"38","TUW39",37,6,0.162162162162162,21,0.567567567567568,17,0.459459459459459,0.80952380952381
"39","TUW4",3,33,11,49,16.3333333333333,16,5.33333333333333,0.326530612244898
"40","TUW42",37,17,0.459459459459459,16,0.432432432432432,6,0.162162162162162,0.375
"41","TUW4b",15,44,2.93333333333333,44,2.93333333333333,0,0,0
"42","TUW5",53,1715,32.3584905660377,2142,40.4150943396226,427,8.05660377358491,0.199346405228758
"43","TUW6",3,105,35,105,35,0,0,0
"44","TUW7",16,709,44.3125,1647,102.9375,938,58.625,0.569520340012143
"45","TUW8",6,20,3.33333333333333,20,3.33333333333333,0,0,0
"46","TUW9",45,1575,35,2340,52,766,17.0222222222222,0.327350427350427
"47","TUW9b",9,335,37.2222222222222,394,43.7777777777778,66,7.33333333333333,0.16751269035533
