"","site_name","malf1_start","malf1_end","malf2_start","malf2_end","malf3_start","malf3_end","malf4_start","malf4_end","malf5_start","malf5_end"
"1","TUW2","2020-10-02 10:28:46","2020-10-26 13:09:11",NA,NA,NA,NA,NA,NA,NA,NA
"2","TUW7","2020-12-09 15:05:16","2020-12-16 09:08:33","2020-12-29 09:41:13","2021-01-15 11:48:53",NA,NA,NA,NA,NA,NA
"3","TUW9","2020-10-09 12:43:50","2020-10-14 14:50:04","2020-12-31 13:26:08","2021-02-27 16:59:48",NA,NA,NA,NA,NA,NA
"4","TUW10","2020-12-29 15:46:24","2021-01-04 13:20:58",NA,NA,NA,NA,NA,NA,NA,NA
"5","TUW11","2020-11-23 09:38:16","2020-12-14 08:42:10",NA,NA,NA,NA,NA,NA,NA,NA
"6","TUW19","2020-11-03 10:41:19","2020-11-16 14:44:50","2021-04-18 14:38:24","2021-05-01 16:00:31",NA,NA,NA,NA,NA,NA
"7","TUW21","2020-11-03 09:45:24","2020-11-16 11:18:10","2021-03-25 13:31:40","2021-04-01 13:38:21",NA,NA,NA,NA,NA,NA
"8","TUW23","2021-04-18 15:34:29","2021-05-01 17:47:00",NA,NA,NA,NA,NA,NA,NA,NA
"9","TUW24","2021-05-24 10:24:57","2021-05-29 03:50:54",NA,NA,NA,NA,NA,NA,NA,NA
"10","TUW27","2020-10-27 10:50:37","2020-11-07 13:26:36","2021-01-17 11:39:29","2021-01-23 09:50:09","2021-04-08 14:27:24","2021-05-01 06:25:39",NA,NA,NA,NA
"11","TUW28","2020-10-09 10:47:01","2020-10-24 11:37:21","2021-08-05 15:37:56","2021-08-28 17:16:56",NA,NA,NA,NA,NA,NA
"12","TUW30","2020-11-11 14:33:34","2020-11-17 10:13:29","2021-02-02 12:21:47","2021-02-09 20:58:18","2021-03-08 05:16:06","2021-04-01 19:01:59","2021-04-23 20:35:33","2021-05-04 17:47:57","2021-06-19 08:52:10","2021-07-01 17:39:56"
"13","TUW31","2021-05-04 17:23:39","2021-07-01 17:28:26",NA,NA,NA,NA,NA,NA,NA,NA
"14","TUW33","2020-10-05 13:59:54","2020-10-11 13:43:19","2020-10-14 20:10:54","2020-10-22 07:21:55",NA,NA,NA,NA,NA,NA
"15","TUW34","2020-11-22 09:54:53","2020-11-27 09:52:16","2020-12-23 22:14:08","2020-12-28 15:13:49","2021-02-15 12:37:56","2021-02-21 12:52:48",NA,NA,NA,NA
"16","TUW35b","2020-12-05 15:56:19","2020-12-28 15:36:03",NA,NA,NA,NA,NA,NA,NA,NA
"17","TUW36b","2021-06-02 08:07:32","2021-06-08 18:11:39",NA,NA,NA,NA,NA,NA,NA,NA
"18","TUW37b","2021-01-02 11:46:40","2021-01-07 14:52:05","2021-01-17 15:29:06","2021-01-24 10:57:07",NA,NA,NA,NA,NA,NA
"19","TUW39","2021-04-05 10:37:29","2021-05-01 12:08:29",NA,NA,NA,NA,NA,NA,NA,NA
"20","CPC1","2020-10-28 15:08:40","2020-11-04 13:23:14",NA,NA,NA,NA,NA,NA,NA,NA
"21","CPC3","2020-11-01 05:21:05","2020-11-08 09:49:28","2020-11-20 00:57:49","2020-12-28 10:45:44",NA,NA,NA,NA,NA,NA
