,site_name,X,Y,bird,cat,chipmunk,coyote,deer,dog,empty,fox,groundhog,horse,mink,not listed,oppossum,rabbit,raccoon,skunk,small rodent,squirrel
1,TUW17,-79.351891,43.654071,0.005,0.005,0.005,1.005,0.005,1.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,1.005,0.005,0.005,0.005,0.005
2,TUW18,-79.353544,43.654082,0.005,0.505,0.005,0.005,0.005,1.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.505
3,TUW19,-79.309887,43.660068,0.313921569,0.000196078,0.019803922,0.470784314,0.000196078,0.941372549,0.000196078,0.117843137,0.000196078,0.000196078,0.000196078,0.000196078,0.274705882,0.19627451,0.686470588,0.568823529,0.000196078,0.686470588
4,TUW21,-79.309641,43.665935,0.571632653,0.816530612,0.000204082,0.102244898,0.000204082,1.000204082,0.000204082,0.775714286,0.000204082,0.000204082,0.000204082,0.000204082,0.265510204,0.204285714,0.898163265,0.183877551,0.000204082,0.775714286
5,TUW23,-79.277325,43.679625,0.372745098,0.039411765,0.19627451,0.588431373,0.745294118,0.215882353,0.019803922,0.411960784,0.000196078,0.000196078,0.000196078,0.000196078,0.353137255,0.372745098,0.804117647,0.019803922,0.000196078,0.843333333
6,TUW24,-79.255705,43.697706,0.028055556,0.000277778,0.000277778,0.528055556,0.111388889,0.9725,0.000277778,0.4725,0.000277778,0.000277778,0.000277778,0.000277778,0.194722222,0.000277778,0.639166667,0.166944444,0.000277778,0.916944444
7,TUW25,-79.2539,43.698164,0.981320755,0.132264151,0.094528302,0.471886792,0.000188679,1.000188679,0.000188679,1.000188679,0.000188679,0.000188679,0.019056604,0.000188679,0.226603774,0.547358491,0.981320755,0.528490566,0.019056604,1.000188679
8,TUW26,-79.253016,43.698321,0.0003125,0.0003125,0.0003125,0.9065625,0.1253125,1.0003125,0.0003125,0.9690625,0.0003125,0.0628125,0.0003125,0.0315625,0.0003125,0.2815625,0.7815625,0.0940625,0.0003125,0.5628125
9,TUW27,-79.192911,43.745342,0.378,0.133555556,0.022444444,0.511333333,0.400222222,0.933555556,0.000222222,0.444666667,0.000222222,0.000222222,0.000222222,0.000222222,0.133555556,0.733555556,0.689111111,0.089111111,0.000222222,0.844666667
10,TUW28,-79.213625,43.729937,0.000204082,0.020612245,0.000204082,0.55122449,0.530816327,1.000204082,0.000204082,0.632857143,0.000204082,0.000204082,0.020612245,0.000204082,0.061428571,0.36755102,0.796122449,0.061428571,0.000204082,0.775714286
11,TUW29,-79.21396,43.731057,0.000714286,0.072142857,0.000714286,0.357857143,0.215,1.000714286,0.000714286,0.643571429,0.000714286,0.000714286,0.000714286,0.000714286,0.000714286,0.000714286,0.357857143,0.000714286,0.072142857,0.857857143
12,TUW29b,-79.207794,43.742176,0.128461538,0.154102564,0.00025641,0.384871795,0.436153846,1.00025641,0.00025641,0.795128205,0.00025641,0.00025641,0.00025641,0.00025641,0.051538462,0.077179487,0.795128205,0.128461538,0.00025641,0.923333333
13,TUW39,-79.261543,43.691038,0.00027027,0.054324324,0.00027027,0.297567568,0.378648649,0.351621622,0.00027027,0.432702703,0.00027027,0.00027027,0.00027027,0.00027027,0.135405405,0.189459459,0.838108108,0.054324324,0.00027027,0.784054054
14,TUW42,-79.224589,43.722602,0.405675676,0.108378378,0.00027027,0.216486486,0.73,0.297567568,0.00027027,0.675945946,0.00027027,0.00027027,0.00027027,0.00027027,0.00027027,0.00027027,0.919189189,0.081351351,0.00027027,0.621891892
15,TUW35a,-79.380525,43.717829,0.001666667,0.001666667,0.001666667,0.168333333,0.001666667,1.001666667,0.001666667,0.168333333,0.001666667,0.001666667,0.001666667,0.001666667,0.001666667,0.001666667,0.501666667,0.001666667,0.001666667,0.835
16,TUW36,-79.363174,43.732244,0.000769231,0.000769231,0.000769231,0.000769231,0.077692308,0.923846154,0.000769231,0.231538462,0.000769231,0.000769231,0.000769231,0.000769231,0.000769231,0.000769231,0.154615385,0.385384615,0.000769231,1.000769231
17,TUW38,-79.36076,43.733112,0.000833333,0.000833333,0.000833333,0.000833333,0.4175,0.750833333,0.000833333,0.250833333,0.000833333,0.000833333,0.000833333,0.000833333,0.000833333,0.084166667,0.1675,0.000833333,0.000833333,0.584166667
18,TUW37b,-79.355353,43.729169,0.055833333,0.416944444,0.000277778,0.500277778,0.000277778,1.000277778,0.000277778,0.528055556,0.000277778,0.000277778,0.000277778,0.000277778,0.2225,0.694722222,0.778055556,0.194722222,0.000277778,0.778055556
19,TUW37,-79.357288,43.730677,0.000769231,0.000769231,0.000769231,0.077692308,0.077692308,1.000769231,0.000769231,0.462307692,0.000769231,0.000769231,0.231538462,0.077692308,0.539230769,0.308461538,0.77,0.077692308,0.154615385,1.000769231
20,TUW36b,-79.368738,43.729414,0.219756098,0.04902439,0.000243902,0.683170732,0.04902439,0.219756098,0.000243902,0.195365854,0.000243902,0.000243902,0.000243902,0.000243902,0.219756098,0.780731707,0.902682927,0.097804878,0.000243902,0.951463415
21,TUW33b,-79.359753,43.718176,0.001666667,0.335,0.001666667,0.335,0.001666667,1.001666667,0.001666667,0.501666667,0.001666667,0.001666667,0.001666667,0.001666667,0.501666667,0.835,0.835,0.001666667,0.001666667,0.501666667
22,TUW34,-79.382813,43.71628,0.113396226,0.019056604,0.000188679,0.490754717,0.000188679,0.849245283,0.000188679,0.17,0.075660377,0.000188679,0.000188679,0.000188679,0.037924528,0.037924528,0.981320755,0.188867925,0.000188679,0.943584906
23,TUW38b,-79.371914,43.738276,0.206176471,0.000294118,0.000294118,0.882647059,0.117941176,0.912058824,0.000294118,0.529705882,0.000294118,0.000294118,0.000294118,0.000294118,0.000294118,0.441470588,0.412058824,0.059117647,0.000294118,0.176764706
24,TUW35b,-79.368693,43.719898,0.089111111,0.066888889,0.000222222,0.378,0.000222222,1.000222222,0.000222222,0.089111111,0.000222222,0.000222222,0.000222222,0.000222222,0.133555556,0.178,0.666888889,0.066888889,0.000222222,0.489111111
25,TUW31,-79.384684,43.683267,0.043695652,0.195869565,0.000217391,0.369782609,0.000217391,1.000217391,0.000217391,0.065434783,0.000217391,0.000217391,0.021956522,0.000217391,0.000217391,0.326304348,0.587173913,0.000217391,0.043695652,0.435
26,TUW2,-79.513242,43.67167,0.505,0.005,0.005,0.005,0.005,1.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,1.005
27,TUW14,-79.393449,43.662709,0.039411765,0.000196078,0.000196078,0.059019608,0.000196078,0.902156863,0.000196078,0.215882353,0.000196078,0.000196078,0.000196078,0.000196078,0.000196078,0.000196078,0.117843137,0.000196078,0.000196078,0.470784314
28,TUW1,-79.516631,43.666581,0.132264151,0.094528302,0.019056604,0.490754717,0.415283019,0.434150943,0.000188679,0.207735849,0.000188679,0.000188679,0.000188679,0.000188679,0.245471698,0.943584906,0.924716981,0.509622642,0.000188679,0.981320755
29,TUW4,-79.493898,43.648308,0.003333333,0.003333333,0.003333333,0.336666667,0.67,1.003333333,0.003333333,0.003333333,0.003333333,0.003333333,0.003333333,0.003333333,0.336666667,0.336666667,0.336666667,0.336666667,0.003333333,1.003333333
30,TUW4b,-79.497531,43.647069,0.039411765,0.000196078,0.000196078,0.372745098,0.902156863,0.843333333,0.000196078,0.000196078,0.000196078,0.000196078,0.000196078,0.000196078,0.039411765,0.019803922,0.294313725,0.000196078,0.000196078,0.431568627
31,TUW8,-79.467609,43.650957,0.001111111,0.001111111,0.112222222,0.112222222,0.001111111,0.89,0.001111111,0.001111111,0.001111111,0.001111111,0.001111111,0.001111111,0.334444444,0.334444444,0.445555556,0.556666667,0.001111111,1.001111111
32,TUW5,-79.493953,43.645029,0.245471698,0.264339623,0.000188679,0.528490566,0.811509434,1.000188679,0.000188679,0.264339623,0.000188679,0.000188679,0.000188679,0.019056604,0.509622642,0.830377358,0.981320755,0.679433962,0.000188679,0.811509434
33,TUW6,-79.491637,43.642509,0.003333333,0.003333333,0.003333333,0.003333333,0.336666667,1.003333333,0.003333333,0.003333333,0.003333333,0.003333333,0.003333333,0.003333333,0.003333333,0.003333333,0.67,0.67,0.003333333,0.67
